country,time_id,year,quarter,npl_ratio,euribor_3m,gdp_growth,unemployment,inflation_yoy
AT,8025,2006,1,2.73942939162815,2.6115666666666666,5.380802348501779,5.7,1.4333333333333331
AT,8026,2006,2,2.73942939162815,2.8895,5.380802348501779,5.7,2.033333333333333
AT,8027,2006,3,2.73942939162815,3.2213666666666665,5.380802348501779,5.7,1.8
AT,8028,2006,4,2.73942939162815,3.594466666666667,5.380802348501779,5.7,1.4333333333333331
AT,8029,2007,1,2.24246731582086,3.8203333333333336,6.11978965429909,5.3,1.7666666666666666
AT,8030,2007,2,2.24246731582086,4.0648333333333335,6.11978965429909,5.3,1.8666666666666665
AT,8031,2007,3,2.24246731582086,4.5005,6.11978965429909,5.3,1.9333333333333331
AT,8032,2007,4,2.24246731582086,4.724766666666667,6.11978965429909,5.3,3.2
AT,8033,2008,1,1.90306942802893,4.48,3.415198061374758,4.4,3.233333333333333
AT,8034,2008,2,1.90306942802893,4.8604666666666665,3.415198061374758,4.4,3.733333333333333
AT,8035,2008,3,1.90306942802893,4.9818,3.415198061374758,4.4,3.7
AT,8036,2008,4,1.90306942802893,4.214666666666667,3.415198061374758,4.4,2.2666666666666666
AT,8037,2009,1,2.25042258658752,2.0117,-1.9092487755537069,5.7,1.0333333333333334
AT,8038,2009,2,2.25042258658752,1.310633333333333,-1.9092487755537069,5.7,0.1
AT,8039,2009,3,2.25042258658752,0.8692000000000001,-1.9092487755537069,5.7,-0.0666666666666666
AT,8040,2009,4,2.25042258658752,0.7219000000000001,-1.9092487755537069,5.7,0.6
AT,8041,2010,1,2.83071715205898,0.6621666666666667,2.7164452477770107,5.2,1.3
AT,8042,2010,2,2.83071715205898,0.6862666666666667,2.7164452477770107,5.2,1.7666666666666666
AT,8043,2010,3,2.83071715205898,0.8749333333333333,2.7164452477770107,5.2,1.6666666666666667
AT,8044,2010,4,2.83071715205898,1.0204666666666666,2.7164452477770107,5.2,2.0
AT,8045,2011,1,2.70681550509306,1.0931333333333333,4.800683800655947,4.9,3.0
AT,8046,2011,2,2.70681550509306,1.4116333333333333,4.800683800655947,4.9,3.7000000000000006
AT,8047,2011,3,2.70681550509306,1.5620666666666665,4.800683800655947,4.9,3.8
AT,8048,2011,4,2.70681550509306,1.4955666666666667,4.800683800655947,4.9,3.6666666666666665
AT,8049,2012,1,2.81336476630545,1.043,2.733050142771587,5.2,2.7
AT,8050,2012,2,2.81336476630545,0.6960333333333333,2.733050142771587,5.2,2.2333333333333334
AT,8051,2012,3,2.81336476630545,0.3585666666666666,2.733050142771587,5.2,2.4
AT,8052,2012,4,2.81336476630545,0.1951333333333333,2.733050142771587,5.2,2.9
AT,8053,2013,1,2.86654169526513,0.2114666666666666,1.453712554693487,5.7,2.6
AT,8054,2013,2,2.86654169526513,0.2067999999999999,1.453712554693487,5.7,2.2333333333333334
AT,8055,2013,3,2.86654169526513,0.2235,1.453712554693487,5.7,1.9666666666666668
AT,8056,2013,4,2.86654169526513,0.2409,1.453712554693487,5.7,1.6666666666666667
AT,8057,2014,1,3.47337431453068,0.2951333333333333,2.7777086774748883,6.0,1.5
AT,8058,2014,2,3.47337431453068,0.2985666666666666,2.7777086774748883,6.0,1.6
AT,8059,2014,3,3.47337431453068,0.1645666666666666,2.7777086774748883,6.0,1.5333333333333332
AT,8060,2014,4,3.47337431453068,0.0814666666666666,2.7777086774748883,6.0,1.2333333333333334
AT,8061,2015,1,3.39283728404187,0.0460333333333333,3.626043989479011,6.1,0.6333333333333333
AT,8062,2015,2,3.39283728404187,-0.0065333333333333,3.626043989479011,6.1,0.9666666666666668
AT,8063,2015,3,3.39283728404187,-0.0278,3.626043989479011,6.1,0.9
AT,8064,2015,4,3.39283728404187,-0.0891666666666666,3.626043989479011,6.1,0.7666666666666666
AT,8065,2016,1,2.69521741465076,-0.1860666666666666,3.9703927292146224,6.5,1.0333333333333332
AT,8066,2016,2,2.69521741465076,-0.2581,3.9703927292146224,6.5,0.6
AT,8067,2016,3,2.69521741465076,-0.2981,3.9703927292146224,6.5,0.7666666666666666
AT,8068,2016,4,2.69521741465076,-0.3125,3.9703927292146224,6.5,1.5
AT,8069,2017,1,2.36889544229069,-0.3278,3.269728643984693,5.9,2.2
AT,8070,2017,2,2.36889544229069,-0.3299666666666667,3.269728643984693,5.9,2.1333333333333333
AT,8071,2017,3,2.36889544229069,-0.3296333333333334,3.269728643984693,5.9,2.2
AT,8072,2017,4,2.36889544229069,-0.3288,3.269728643984693,5.9,2.3666666666666667
AT,8073,2018,1,2.90095686469682,-0.3283,4.339679097096094,5.2,1.9333333333333331
AT,8074,2018,2,2.90095686469682,-0.3252333333333333,4.339679097096094,5.2,2.1333333333333333
AT,8075,2018,3,2.90095686469682,-0.3194999999999999,4.339679097096094,5.2,2.233333333333333
AT,8076,2018,4,2.90095686469682,-0.3153333333333333,4.339679097096094,5.2,2.1333333333333333
AT,8077,2019,1,2.41057983492873,-0.3085333333333333,3.2545232378978994,4.8,1.6
AT,8078,2019,2,2.41057983492873,-0.3171,3.2545232378978994,4.8,1.6666666666666667
AT,8079,2019,3,2.41057983492873,-0.3967333333333333,3.2545232378978994,4.8,1.3666666666666665
AT,8080,2019,4,2.41057983492873,-0.4029666666666666,3.2545232378978994,4.8,1.3333333333333333
AT,8081,2020,1,2.38904558369577,-0.4055333333333333,-3.888963031893544,6.0,2.0
AT,8082,2020,2,2.38904558369577,-0.3007,-3.888963031893544,6.0,1.0666666666666669
AT,8083,2020,3,2.38904558369577,-0.4717333333333333,-3.888963031893544,6.0,1.4666666666666668
AT,8084,2020,4,2.38904558369577,-0.5227,-3.888963031893544,6.0,1.0666666666666669
